"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录功能","4","0","参数化登录测试","0"
"0","","0","购物车功能","2","0","批量添加商品","0"
